opcode,decl_count,first_use,dispatch_function,jump_table_entry,target_address,case_label,case_line,status,next_evidence
136,17,ecldata1.decl:1162,00410520_FUN_00410520.c,0x00417a54,0x00415f5a,0x87,2825,source-derived,map-case-semantics-before-runtime-wiring
137,99,ecldata1.decl:16,00410520_FUN_00410520.c,0x00417a58,0x00415f8c,0x88,2830,source-derived,map-case-semantics-before-runtime-wiring
138,24,ecldata1.decl:1164,00410520_FUN_00410520.c,0x00417a5c,0x00415fb4,0x89,2833,source-derived,map-case-semantics-before-runtime-wiring
139,52,ecldata1.decl:553,00410520_FUN_00410520.c,0x00417a60,0x00414cae,0x8a,2861,source-derived,map-case-semantics-before-runtime-wiring
140,27,ecldata1.decl:18,00410520_FUN_00410520.c,0x00417a64,0x004160cf,0x8b,2892,source-derived,map-case-semantics-before-runtime-wiring
141,18,ecldata2.decl:1434,00410520_FUN_00410520.c,0x00417a68,0x0041677b,,,source-derived,treat-as-no-op-until-runtime-naming-is-proven
142,292,ecldata1.decl:752,00410520_FUN_00410520.c,0x00417a6c,0x004161c7,0x8d,2926,source-derived,map-case-semantics-before-runtime-wiring
143,2,ecldata4.decl:196,00410520_FUN_00410520.c,0x00417a70,0x00416233,0x8e,2937,source-derived,map-case-semantics-before-runtime-wiring
144,78,ecldata4.decl:5164,00410520_FUN_00410520.c,0x00417a74,0x00415097,0x8f,2947,source-derived,map-case-semantics-before-runtime-wiring
145,84,ecldata4.decl:959,00410520_FUN_00410520.c,0x00417a78,0x00416284,0x90,2975,source-derived,map-case-semantics-before-runtime-wiring
146,1,ecldata4.decl:714,00410520_FUN_00410520.c,0x00417a7c,0x00416342,0x91,2998,source-derived,map-case-semantics-before-runtime-wiring
148,32,ecldata1.decl:550,00410520_FUN_00410520.c,0x00417a84,0x00414ee9,0x93,3010,source-derived,map-case-semantics-before-runtime-wiring
149,1,ecldata4.decl:5252,00410520_FUN_00410520.c,0x00417a88,0x00416353,0x94,3038,source-derived,map-case-semantics-before-runtime-wiring
150,1,ecldata6.decl:632,00410520_FUN_00410520.c,0x00417a8c,0x00416495,0x95,3073,source-derived,map-case-semantics-before-runtime-wiring
151,8,ecldata6.decl:790,00410520_FUN_00410520.c,0x00417a90,0x004164d7,0x96,3083,source-derived,map-case-semantics-before-runtime-wiring
152,10,ecldata6.decl:1509,00410520_FUN_00410520.c,0x00417a94,0x0041365d,0x97,3111,source-derived,map-case-semantics-before-runtime-wiring
153,3,ecldata6.decl:974,00410520_FUN_00410520.c,0x00417a98,0x004148df,0x98,3130,source-derived,map-case-semantics-before-runtime-wiring
154,80,ecldata1.decl:6,00410520_FUN_00410520.c,0x00417a9c,0x004154c9,0x99,3156,source-derived,map-case-semantics-before-runtime-wiring
155,47,ecldata7.decl:949,00410520_FUN_00410520.c,0x00417aa0,0x0041661a,0x9a,3177,source-derived,map-case-semantics-before-runtime-wiring
156,12,ecldata7.decl:2375,00410520_FUN_00410520.c,0x00417aa4,0x004138f6,0x9b,3198,source-derived,map-case-semantics-before-runtime-wiring
157,4,ecldata7.decl:3118,00410520_FUN_00410520.c,0x00417aa8,0x00413b3b,0x9c,3216,source-derived,map-case-semantics-before-runtime-wiring
158,4,ecldata7.decl:3117,00410520_FUN_00410520.c,0x00417aac,0x00413bd3,0x9d,3235,source-derived,map-case-semantics-before-runtime-wiring
159,16,ecldata7.decl:1727,00410520_FUN_00410520.c,0x00417ab0,0x004115e0,0x9e,3262,source-derived,map-case-semantics-before-runtime-wiring
160,2,ecldata1.decl:718,00410520_FUN_00410520.c,0x00417ab4,0x004166e6,0x9f,3296,source-derived,map-case-semantics-before-runtime-wiring
161,7,ecldata8.decl:3484,00410520_FUN_00410520.c,0x00417ab8,0x00416729,0xa0,3305,source-derived,map-case-semantics-before-runtime-wiring
